"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 22 12:15:05 ART 2024","Mon Apr 22 12:15:05 ART 2024","0","","Test the successful Campaign creation by an admin","","","","assert admin creates a campaign using SKU",""
"skipped","Tue May 28 12:42:38 ART 2024","Tue May 28 12:42:38 ART 2024","1","","Test the Heidi Daus's PDP Tandym ""Save & earn on your first purchase"" modal","","","","should assert Save block Net Amount message is correct and visible",""
"passed","Fri Mar 08 12:34:13 ART 2024","Fri Mar 08 12:34:15 ART 2024","2045","","Test Registration of Accountholders","","","","""before each"" hook for Test Registration of Accountholders",""
"passed","Tue May 21 19:14:23 ART 2024","Tue May 21 19:14:25 ART 2024","1469","","Test the Heidi Daus's PDP Tandym Widget","","","","should assert widget Savings Badge is correct and visible",""
"passed","Tue Mar 19 14:46:25 ART 2024","Tue Mar 19 14:47:23 ART 2024","58429","","Test the successful Purchase completion in Express Checkout","","","","assert placing an order as a Credit Accountholder on Express Checkout and success message includes correct merchant information",""
"passed","Fri Mar 08 12:37:59 ART 2024","Fri Mar 08 12:38:03 ART 2024","4336","","Merchant Login Suite","","","","Verify merchant can successfully login",""
"passed","Mon Apr 01 21:59:03 ART 2024","Mon Apr 01 21:59:04 ART 2024","577","","Test the Heidi Daus's PDP Tandym Widget","","","","should assert widget Logo is correct and visible",""
"passed","Tue Mar 19 14:57:58 ART 2024","Tue Mar 19 14:58:07 ART 2024","8125","","Test Woocommerce Post To SDK functionality","","","","""before each"" hook for Test Woocommerce Post To SDK functionality",""
"skipped","Fri Mar 08 12:36:12 ART 2024","Fri Mar 08 12:36:12 ART 2024","0","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Disabled - Discount Code Multiplier campaign",""
"passed","Thu Apr 11 11:42:08 ART 2024","Thu Apr 11 11:42:27 ART 2024","18976","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Instant Discount Percentage - Discount Code Multiplier campaign",""
"passed","Tue May 28 13:20:47 ART 2024","Tue May 28 13:21:36 ART 2024","49214","","Test the successful capture of a payment on a Dual Message merchant by an admin","","","","assert admin can fully capture a payment",""
"broken","Fri Apr 12 11:55:10 ART 2024","Fri Apr 12 11:55:21 ART 2024","11113","","Test the successful Refund flow as a merchant","","","","""before each"" hook for Test the successful Refund flow as a merchant",""
"passed","Tue Mar 19 14:47:50 ART 2024","Tue Mar 19 14:47:50 ART 2024","83","","Test the Heidi Daus's PDP Tandym Widget","","","","should assert widget Save message on first order is correct and visible",""
"passed","Fri Mar 08 12:43:51 ART 2024","Fri Mar 08 12:44:05 ART 2024","13657","","Test the Standalone You're Approved screen as a Credit Applicant","","","","assert You're approved screen as Credit Applicant - Merchant with NAI Boost Fixed",""
"passed","Fri Mar 08 12:25:27 ART 2024","Fri Mar 08 12:25:56 ART 2024","28113","","Test the Capture flow of a Dual Message merchant by an admin","","","","assert all details are correct in the capture confirmation modal for a full capture",""
"passed","Fri Mar 08 12:43:10 ART 2024","Fri Mar 08 12:43:24 ART 2024","14673","","Test the Standalone You're Approved screen as a Credit Applicant","","","","assert You're approved screen as Credit Applicant - Merchant with NAI Instant Discount Percentage",""
"passed","Tue May 21 22:21:44 ART 2024","Tue May 21 22:22:09 ART 2024","25006","","Test Magento Post To SDK functionality","","","","""before each"" hook for Test Magento Post To SDK functionality",""
"passed","Fri Mar 08 12:28:38 ART 2024","Fri Mar 08 12:29:24 ART 2024","46222","","Test the successful capture of a payment on a Dual Message merchant by an admin","","","","assert admin cannot capture an already partially captured payment",""
"passed","Tue May 28 13:25:45 ART 2024","Tue May 28 13:25:51 ART 2024","6319","","Test Woocommerce Post To SDK functionality","","","","""before each"" hook for Test Woocommerce Post To SDK functionality",""
"skipped","Fri Mar 08 12:36:12 ART 2024","Fri Mar 08 12:36:12 ART 2024","0","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Boost Fixed - SKU Multiplier campaign",""
"skipped","Fri Mar 08 12:36:12 ART 2024","Fri Mar 08 12:36:12 ART 2024","0","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Boost Fixed - SKU Fixed campaign",""
"passed","Tue May 28 12:21:29 ART 2024","Tue May 28 12:21:30 ART 2024","1597","","Admin Login Suite","","","","Verify proper warning displays when user enters an invalid email format",""
"skipped","Fri Mar 08 12:36:12 ART 2024","Fri Mar 08 12:36:12 ART 2024","0","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Instant Discount Fixed - No campaigns",""
"passed","Tue May 28 12:42:37 ART 2024","Tue May 28 12:42:37 ART 2024","612","","Test the Heidi Daus's PDP Tandym Widget","","","","should assert widget Logo is correct and visible",""
"passed","Tue Mar 12 14:17:48 ART 2024","Tue Mar 12 14:18:57 ART 2024","68408","","Test Shopify Post To SDK funtionality","","","","assert OrderID, GrossAmount and Payment Status are properly saved in the token and properly added to the DB",""
"passed","Tue Mar 19 14:43:59 ART 2024","Tue Mar 19 14:44:25 ART 2024","26149","","Admin in merchant user registration flow","","","","assert admin can remove a merchant user",""
"passed","Tue Mar 19 14:46:29 ART 2024","Tue Mar 19 14:47:16 ART 2024","47855","","Test the successful capture of a payment on a Dual Message merchant by an admin","","","","assert admin can partially capture a payment",""
"passed","Thu Mar 21 18:31:10 ART 2024","Thu Mar 21 18:32:03 ART 2024","53188","","Test the successful Refund flow as a merchant","","","","assert merchant issues a full refund on a debit order",""
"passed","Tue May 21 18:58:07 ART 2024","Tue May 21 18:59:06 ART 2024","58980","","Test the successful void of a payment on a Dual Message merchant","","","","assert merchant can void a payment",""
"passed","Thu Apr 11 01:07:56 ART 2024","Thu Apr 11 01:08:24 ART 2024","27952","","Test the successful Standalone account creation flow as an Applicant","","","","assert the creation of a Credit Account via Standalone",""
"skipped","Tue May 28 12:42:38 ART 2024","Tue May 28 12:42:38 ART 2024","0","","Test the Heidi Daus's PDP Tandym ""Save & earn on your first purchase"" modal","","","","should assert Learn More and Apply Now buttons are correct and visible",""
"passed","Tue May 28 12:29:26 ART 2024","Tue May 28 12:29:27 ART 2024","943","","Test Registration of Accountholders","","","","""before all"" hook for Test Registration of Accountholders",""
"passed","Tue Mar 19 14:52:00 ART 2024","Tue Mar 19 14:52:15 ART 2024","15465","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Boost Multiplier - No campaigns",""
"broken","Tue May 21 19:01:44 ART 2024","Tue May 21 19:02:16 ART 2024","31403","","Test the successful Purchase completion flow as a Credit customer","","","","assert placing a first order as a Credit Applicant",""
"passed","Fri Mar 08 12:31:18 ART 2024","Fri Mar 08 12:31:42 ART 2024","24137","","Admin in merchant user registration flow","","","","assert admin can remove a merchant user",""
"passed","Tue Mar 19 14:43:36 ART 2024","Tue Mar 19 14:43:59 ART 2024","22821","","Admin in merchant user registration flow","","","","assert admin can invite a merchant user",""
"broken","Tue Mar 19 14:49:04 ART 2024","Tue Mar 19 14:49:43 ART 2024","39432","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Instant Discount Percentage - No campaigns",""
"passed","Wed Mar 20 16:42:11 ART 2024","Wed Mar 20 16:42:56 ART 2024","45277","","Test the successful void of a payment on a Dual Message merchant","","","","assert admin can void a payment",""
"passed","Fri Mar 08 12:30:42 ART 2024","Fri Mar 08 12:30:46 ART 2024","3843","","Merchant Registration Suite","","","","""before each"" hook for Merchant Registration Suite",""
"passed","Tue Mar 19 14:44:36 ART 2024","Tue Mar 19 14:44:57 ART 2024","20892","","Test the Capture flow of a Dual Message merchant by an admin","","","","assert all details are correct in the capture confirmation modal for a partial capture",""
"skipped","Fri Mar 08 12:37:56 ART 2024","Fri Mar 08 12:37:56 ART 2024","0","","Test the Heidi Daus's PDP Tandym ""Save & earn on your first purchase"" modal","","","","should assert Earn block earn message is correct and visible",""
"passed","Thu Apr 11 00:52:16 ART 2024","Thu Apr 11 00:52:17 ART 2024","1198","","Test Registration of Accountholders","","","","""after each"" hook for Test Registration of Accountholders",""
"passed","Thu Apr 11 11:40:06 ART 2024","Thu Apr 11 11:40:23 ART 2024","16943","","Test the successful Purchase completion flow as a Debit customer","","","","assert placing a 2nd+ order as a Debit Accountholder",""
"passed","Fri Mar 08 12:37:55 ART 2024","Fri Mar 08 12:37:56 ART 2024","576","","Test the Heidi Daus's PDP Tandym Widget","","","","should assert widget Logo is correct and visible",""
"passed","Tue May 28 13:24:35 ART 2024","Tue May 28 13:24:37 ART 2024","1914","","Test the successful capture of a payment on a Dual Message merchant by a merchant manager","","","","assert merchant manager can fully capture a payment",""
"skipped","Tue May 28 12:42:38 ART 2024","Tue May 28 12:42:38 ART 2024","1","","Test the Heidi Daus's PDP Tandym ""Save & earn on your first purchase"" modal","","","","should assert Earn block earn message is correct and visible",""
"passed","Tue May 21 19:15:04 ART 2024","Tue May 21 19:15:10 ART 2024","5658","","Test the Servicing Portal","","","","assert Accountholder cannot login with invalid credentials in the Servicing Portal",""
"passed","Tue May 28 13:19:40 ART 2024","Tue May 28 13:20:01 ART 2024","20878","","Test the Capture flow of a Dual Message merchant by an admin","","","","assert all details are correct in the capture confirmation modal for a partial capture",""
"passed","Tue May 21 19:15:13 ART 2024","Tue May 21 19:15:13 ART 2024","2","","Test Shopify Post To SDK functionality","","","","""before each"" hook for Test Shopify Post To SDK functionality",""
"skipped","Tue Mar 19 14:47:50 ART 2024","Tue Mar 19 14:47:50 ART 2024","0","","Test the Heidi Daus's PDP Tandym ""Save & earn on your first purchase"" modal","","","","should assert Learn More and Apply Now buttons are correct and visible",""
"passed","Tue Mar 19 14:52:15 ART 2024","Tue Mar 19 14:52:29 ART 2024","14379","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Boost Multiplier - Discount Code Multiplier campaign",""
"passed","Thu Apr 11 11:59:08 ART 2024","Thu Apr 11 11:59:19 ART 2024","10956","","Merchant Registration Suite","","","","Verify admin can create a merchant entity",""
"passed","Thu Apr 11 01:07:39 ART 2024","Thu Apr 11 01:07:39 ART 2024","0","","Test Shopify Post To SDK functionality","","","","""before each"" hook for Test Shopify Post To SDK functionality",""
"skipped","Tue May 21 19:14:25 ART 2024","Tue May 21 19:14:25 ART 2024","0","","Test the Heidi Daus's PDP Tandym ""Save & earn on your first purchase"" modal","","","","should assert Learn More and Apply Now buttons are correct and visible",""
"passed","Thu Apr 11 01:10:42 ART 2024","Thu Apr 11 01:11:05 ART 2024","23703","","Test the Standalone You're Approved screen as a Credit Applicant","","","","assert You're approved screen as Credit Applicant - Merchant with NAI Disabled",""
"passed","Thu Feb 22 08:49:13 ART 2024","Thu Feb 22 08:49:16 ART 2024","3055","","","","","","assert Tandym Modal is not accesible with invalid Merchant Api Key and Domain",""
"passed","Tue Mar 19 14:46:51 ART 2024","Tue Mar 19 14:47:16 ART 2024","24527","","Test the successful Purchase completion flow as a Credit customer","","","","assert placing a first order as a Credit Applicant",""
"passed","Fri Mar 08 12:28:38 ART 2024","Fri Mar 08 12:29:18 ART 2024","40021","","Test the successful capture of a payment on a Dual Message merchant by an admin","","","","""before each"" hook for Test the successful capture of a payment on a Dual Message merchant by an admin",""
"passed","Tue May 21 18:59:09 ART 2024","Tue May 21 18:59:10 ART 2024","1084","","Test the update of the orderId used by Shopify and custom works","","","","assert the orderId value is updated successfully",""
"passed","Tue May 28 13:48:47 ART 2024","Tue May 28 13:49:41 ART 2024","54110","","Test the successful void of a payment on a Dual Message merchant","","","","assert admin can void a payment",""
"passed","Tue May 21 19:16:23 ART 2024","Tue May 21 19:16:57 ART 2024","33220","","Test the successful Standalone account creation flow as an Applicant","","","","assert the creation of a Credit Account via Standalone",""
"passed","Thu Apr 11 11:59:03 ART 2024","Thu Apr 11 11:59:05 ART 2024","1913","","Admin Login Suite","","","","Verify admin cannot login with invalid OTP",""
"passed","Thu Apr 11 12:02:56 ART 2024","Thu Apr 11 12:03:21 ART 2024","25213","","Test the Capture flow of a Dual Message merchant by an admin","","","","""before all"" hook for Test the Capture flow of a Dual Message merchant by an admin",""
"passed","Tue May 28 14:00:44 ART 2024","Tue May 28 14:00:45 ART 2024","1093","","Test the unsuccessful Standalone account creation flow as a an Accountholder","","","","""after each"" hook for Test the unsuccessful Standalone account creation flow as a an Accountholder",""
"passed","Tue Mar 19 14:50:15 ART 2024","Tue Mar 19 14:50:29 ART 2024","14440","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Instant Discount Percentage - SKU Multiplier campaign",""
"passed","Thu Apr 11 11:46:13 ART 2024","Thu Apr 11 11:46:30 ART 2024","16584","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Boost Fixed - No campaigns",""
"skipped","Tue May 28 14:11:34 ART 2024","Tue May 28 14:11:34 ART 2024","0","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Boost Multiplier - Discount Code Multiplier campaign",""
"passed","Tue May 28 14:08:29 ART 2024","Tue May 28 14:08:39 ART 2024","9958","","Test the unsuccessful Purchase completion flow","","","","assert Credit Accountholder is rejected by Alloy due to exceeding Credit Limit",""
"failed","Tue May 21 18:56:48 ART 2024","Tue May 21 18:56:56 ART 2024","7909","","Test the successful Rewards creation by an admin","","","","Assert merchant user cannot access campaigns tab",""
"passed","Thu Apr 11 01:09:08 ART 2024","Thu Apr 11 01:09:09 ART 2024","1111","","Test the successful Standalone account creation flow as an Applicant","","","","""after each"" hook for Test the successful Standalone account creation flow as an Applicant",""
"skipped","Fri Mar 08 12:36:12 ART 2024","Fri Mar 08 12:36:12 ART 2024","1","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Instant Discount Fixed - Discount Code Fixed campaign",""
"skipped","Tue May 28 14:11:34 ART 2024","Tue May 28 14:11:34 ART 2024","0","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Boost Fixed - SKU Multiplier campaign",""
"skipped","Tue May 28 14:11:34 ART 2024","Tue May 28 14:11:34 ART 2024","1","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Boost Multiplier - SKU Fixed campaign",""
"passed","Fri Mar 08 12:33:52 ART 2024","Fri Mar 08 12:34:12 ART 2024","19807","","Test Registration of Accountholders","","","","Verify credit applicant at checkout is rejected due to gross amount being excessive and gets offer a debit sign up option",""
"passed","Tue Mar 19 14:45:52 ART 2024","Tue Mar 19 14:45:54 ART 2024","2383","","Test Registration of Accountholders","","","","""before each"" hook for Test Registration of Accountholders",""
"passed","Thu Apr 11 00:51:10 ART 2024","Thu Apr 11 00:51:11 ART 2024","1109","","Test Registration of Accountholders","","","","""before all"" hook for Test Registration of Accountholders",""
"passed","Tue May 28 13:32:04 ART 2024","Tue May 28 13:33:09 ART 2024","65332","","Test Magento Post To SDK functionality","","","","assert OrderID, GrossAmount and Payment Status are properly saved in the token and properly added to the DB",""
"broken","Tue May 21 19:05:43 ART 2024","Tue May 21 19:06:27 ART 2024","44034","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Disabled - Discount Code Multiplier campaign",""
"passed","Tue May 28 14:09:31 ART 2024","Tue May 28 14:09:48 ART 2024","17006","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Disabled - SKU Multiplier campaign",""
"passed","Fri Apr 12 11:40:43 ART 2024","Fri Apr 12 11:41:31 ART 2024","47999","","Test the successful void of a payment on a Dual Message merchant","","","","assert admin can void a payment",""
"passed","Thu Apr 11 01:05:05 ART 2024","Thu Apr 11 01:05:19 ART 2024","14350","","Test Magento Post To SDK functionality","","","","""before each"" hook for Test Magento Post To SDK functionality",""
"passed","Tue Mar 19 14:47:49 ART 2024","Tue Mar 19 14:47:50 ART 2024","84","","Test the Heidi Daus's PDP Tandym Widget","","","","should assert widget Savings Badge is correct and visible",""
"broken","Tue May 21 19:08:26 ART 2024","Tue May 21 19:08:43 ART 2024","16790","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Instant Discount Percentage - No campaigns",""
"passed","Tue May 21 19:16:57 ART 2024","Tue May 21 19:17:44 ART 2024","47319","","Test the successful Standalone account creation flow as an Applicant","","","","assert the creation of a Debit Account via Standalone",""
"passed","Fri Mar 08 12:33:01 ART 2024","Fri Mar 08 12:33:50 ART 2024","48252","","Test Registration of Accountholders","","","","Verify applicant signs up successfully with debit at checkout",""
"passed","Tue Mar 19 14:47:50 ART 2024","Tue Mar 19 14:47:50 ART 2024","58","","Test the Heidi Daus's PDP Tandym Widget","","","","should assert widget Logo is correct and visible",""
"passed","Fri Mar 08 12:25:56 ART 2024","Fri Mar 08 12:26:24 ART 2024","28687","","Test the Capture flow of a Dual Message merchant by an admin","","","","assert all details are correct in the capture confirmation modal for a partial capture",""
"passed","Tue May 28 13:53:59 ART 2024","Tue May 28 13:54:51 ART 2024","51656","","Test the successful Refund flow as a merchant","","","","assert merchant issues a full refund on a dual message credit order",""
"passed","Mon Apr 01 21:15:01 ART 2024","Mon Apr 01 21:15:16 ART 2024","15894","","","","","","assert Credit Accountholder is rejected by Alloy due to exceeding Credit Limit",""
"broken","Tue May 21 14:45:34 ART 2024","Tue May 21 14:46:42 ART 2024","68069","","Test Shopify Post To SDK functionality","","","","assert OrderID, GrossAmount and Payment Status are properly saved in the token and properly added to the DB",""
"passed","Mon Apr 01 21:59:04 ART 2024","Mon Apr 01 21:59:04 ART 2024","58","","Test the Heidi Daus's PDP Tandym Widget","","","","should assert widget Save message on first order is correct and visible",""
"skipped","Tue May 28 13:39:34 ART 2024","Tue May 28 13:39:34 ART 2024","1","","Test the successful Purchase completion in Express Checkout","","","","assert placing an order as a Debit Accountholder on Express Checkout and success message includes correct merchant information",""
"passed","Thu Apr 11 01:09:33 ART 2024","Thu Apr 11 01:09:46 ART 2024","13174","","Test the unsuccessful Standalone account creation flow as a an Accountholder","","","","assert Credit Accountholder already has a Tandym Account screen as debit applicant",""
"skipped","Tue May 28 14:11:34 ART 2024","Tue May 28 14:11:34 ART 2024","0","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Boost Fixed - SKU Fixed campaign",""
"passed","Thu Apr 11 12:07:16 ART 2024","Thu Apr 11 12:08:05 ART 2024","48631","","Test the successful capture of a payment on a Dual Message merchant by an admin","","","","assert admin cannot capture an already fully captured payment",""
"passed","Fri Mar 08 12:43:38 ART 2024","Fri Mar 08 12:43:51 ART 2024","13528","","Test the Standalone You're Approved screen as a Credit Applicant","","","","assert You're approved screen as Credit Applicant - Merchant with NAI Boost Multiplier",""
"passed","Thu Apr 11 00:51:31 ART 2024","Thu Apr 11 00:52:16 ART 2024","44295","","Test Registration of Accountholders","","","","Verify credit applicant at checkout is rejected and signs up successfully as debit accountholder",""
"passed","Thu Apr 11 01:06:05 ART 2024","Thu Apr 11 01:06:28 ART 2024","22851","","Test the Servicing Portal","","","","assert Accountholder can login and logout from the Servicing Portal",""
"passed","Tue May 28 12:27:29 ART 2024","Tue May 28 12:27:37 ART 2024","7623","","Test the successful Rewards creation by an admin","","","","Assert merchant user cannot access campaigns tab",""
"skipped","Tue May 28 14:11:34 ART 2024","Tue May 28 14:11:34 ART 2024","0","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Boost Multiplier - No campaigns",""
"skipped","Tue May 28 14:11:34 ART 2024","Tue May 28 14:11:34 ART 2024","0","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Boost Fixed - No campaigns",""
"passed","Tue May 28 12:27:02 ART 2024","Tue May 28 12:27:19 ART 2024","17478","","Test the successful Rewards creation by an admin","","","","Assert admin can set New account incentive as None",""
"passed","Tue May 21 19:37:36 ART 2024","Tue May 21 19:37:54 ART 2024","18078","","Test the successful Campaign creation by an admin","","","","""before each"" hook for Test the successful Campaign creation by an admin",""
"passed","Tue May 21 19:20:09 ART 2024","Tue May 21 19:20:31 ART 2024","21598","","Test applicant cannot create a standalone account creation flow without accepting disclosures","","","","assert Applicant cannot create a standalone Credit account without accepting disclosures",""
"passed","Tue May 21 19:14:28 ART 2024","Tue May 21 19:14:33 ART 2024","5111","","Merchant Login Suite","","","","Verify merchant can successfully login",""
"passed","Thu Apr 11 01:13:18 ART 2024","Thu Apr 11 01:13:19 ART 2024","1055","","Test applicant cannot create a standalone account creation flow without accepting disclosures","","","","""after each"" hook for Test applicant cannot create a standalone account creation flow without accepting disclosures",""
"broken","Thu Apr 11 01:07:39 ART 2024","Thu Apr 11 01:07:53 ART 2024","13429","","Test Shopify Post To SDK functionality","","","","assert OrderID, GrossAmount and Payment Status are properly saved in the token and properly added to the DB",""
"passed","Tue May 21 19:20:31 ART 2024","Tue May 21 19:20:43 ART 2024","11780","","Test applicant cannot create a standalone account creation flow without accepting disclosures","","","","assert Applicant cannot create a standalone Debit account without accepting disclosures",""
"passed","Thu Apr 11 11:43:34 ART 2024","Thu Apr 11 11:43:51 ART 2024","17168","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Instant Discount Fixed - Discount Code Multiplier campaign",""
"passed","Tue May 28 13:43:42 ART 2024","Tue May 28 13:43:43 ART 2024","1181","","Test the successful Purchase completion in Express Checkout","","","","""after each"" hook for Test the successful Purchase completion in Express Checkout",""
"broken","Tue May 21 18:55:55 ART 2024","Tue May 21 18:56:33 ART 2024","37744","","Test the successful Rewards creation by an admin","","","","Assert admin can set New account incentive as Instant Discount fixed",""
"passed","Tue Mar 12 14:22:51 ART 2024","Tue Mar 12 14:23:46 ART 2024","55661","","Test the successful Purchase completion in Express Checkout","","","","assert placing an order as a Credit Accountholder on Express Checkout and success message includes correct merchant information",""
"passed","Thu Feb 22 00:28:15 ART 2024","Thu Feb 22 00:28:17 ART 2024","1947","","Test the successful capture of a payment on a Dual Message merchant by a merchant manager","","","","assert merchant manager can fully capture a payment",""
"passed","Tue May 21 18:50:25 ART 2024","Tue May 21 18:50:28 ART 2024","2828","","Admin Login Suite","","","","Verify user cannot login with empty fields and proper alerts display",""
"passed","Tue May 28 12:21:26 ART 2024","Tue May 28 12:21:27 ART 2024","1377","","Admin Login Suite","","","","Verify user cannot login with invalid password",""
"passed","Tue May 21 19:12:34 ART 2024","Tue May 21 19:13:32 ART 2024","57949","","Test Magento Post To SDK functionality","","","","""before each"" hook for Test Magento Post To SDK functionality",""
"passed","Tue May 21 19:19:27 ART 2024","Tue May 21 19:19:47 ART 2024","20739","","Test the Standalone You're Approved screen as a Credit Applicant","","","","assert You're approved screen as Credit Applicant - Merchant with NAI Boost Multiplier",""
"skipped","Fri Mar 08 12:36:12 ART 2024","Fri Mar 08 12:36:12 ART 2024","0","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Instant Discount Percentage - SKU Multiplier campaign",""
"passed","Tue Mar 12 14:16:44 ART 2024","Tue Mar 12 14:17:24 ART 2024","40000","","Test Woocommerce Post To SDK funtionality","","","","assert OrderID, GrossAmount and Payment Status are properly saved in the token and properly added to the DB",""
"passed","Tue Mar 12 14:56:24 ART 2024","Tue Mar 12 14:57:04 ART 2024","39982","","Test Woocommerce Post To SDK functionality","","","","assert OrderID, GrossAmount and Payment Status are properly saved in the token and properly added to the DB",""
"skipped","Fri Mar 08 12:36:12 ART 2024","Fri Mar 08 12:36:12 ART 2024","0","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Instant Discount Fixed - Discount Code Multiplier campaign",""
"passed","Tue May 28 14:08:39 ART 2024","Tue May 28 14:08:56 ART 2024","17268","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Disabled - No campaigns",""
"passed","Tue May 21 19:18:44 ART 2024","Tue May 21 19:19:05 ART 2024","20790","","Test the Standalone You're Approved screen as a Credit Applicant","","","","assert You're approved screen as Credit Applicant - Merchant with NAI Instant Discount Percentage",""
"passed","Tue May 28 14:10:22 ART 2024","Tue May 28 14:10:41 ART 2024","18699","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Instant Discount Percentage - Discount Code Multiplier campaign",""
"passed","Thu Apr 11 11:58:55 ART 2024","Thu Apr 11 11:58:58 ART 2024","2335","","Admin Login Suite","","","","Verify user cannot login with invalid password",""
"passed","Tue May 28 14:00:12 ART 2024","Tue May 28 14:00:19 ART 2024","7152","","Test the unsuccessful Standalone account creation flow as a an Accountholder","","","","assert Debit Accountholder already has a Tandym Account screen as credit applicant",""
"passed","Tue May 28 14:11:17 ART 2024","Tue May 28 14:11:34 ART 2024","17894","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Instant Discount Percentage - SKU Fixed campaign",""
